Incumbent Party,State,Senator,GovTrack ID,Bioguide ID,Party,FEC.gov ID,Wikipedia Page Name,Wikidata ID (see Wikipedia sidebar),Ballotpedia Page Name,First Name,Middle Name,Last Name,Gender (M/F),Birthday (often on Wikipedia)
D,AZ,"Sinema, Kyrsten",412509,,,,,,,,,,,
D,CA,"Feinstein, Dianne",300043,,,,,,,,,,,
D,CT,"Murphy, Christopher",412194,,,,,,,,,,,
D,DE,"Carper, Thomas R.",300019,,,,,,,,,,,
R,FL,"Scott, Rick",,S001217,Republican,S8FL00273,Rick Scott,Q439729,Rick Scott,Rick,,Scott,M,1952-12-01
D,HI,"Hirono, Mazie K.",412200,,,,,,,,,,,
R,IN,"Braun, Mike",,B001310,Republican,S8IN00171,Mike Braun,Q42804470,Mike Braun,Mike,,Braun,M,1954-03-24
D,MA,"Warren, Elizabeth",412542,,,,,,,,,,,
D,MD,"Cardin, Benjamin L.",400064,,,,,,,,,,,
I,ME,"King, Angus S., Jr.",412545,,,,,,,,,,,
D,MI,"Stabenow, Debbie",300093,,,,,,,,,,,
D,MN,"Klobuchar, Amy",412242,,,,,,,,,,,
R,MO,"Hawley, Josh",,H001089,Republican,S8MO00160,Josh Hawley,Q23020745,Josh Hawley,Joshua,,Hawley,M,1979-12-31
R,MS,"Wicker, Roger F.",400432,,,,,,,,,,,
D,MT,"Tester, Jon",412244,,,,,,,,,,,
R,ND,"Cramer, Kevin",412555,,,,,,,,,,,
R,NE,"Fischer, Deb",412556,,,,,,,,,,,
D,NJ,"Menendez, Robert",400272,,,,,,,,,,,
D,NM,"Heinrich, Martin",412281,,,,,,,,,,,
D,NV,"Rosen, Jacky",412715,,,,,,,,,,,
D,NY,"Gillibrand, Kirsten E.",412223,,,,,,,,,,,
D,OH,"Brown, Sherrod",400050,,,,,,,,,,,
D,PA,"Casey, Robert P., Jr.",412246,,,,,,,,,,,
D,RI,"Whitehouse, Sheldon",412247,,,,,,,,,,,
R,TN,"Blackburn, Marsha",400032,,,,,,,,,,,
R,TX,"Cruz, Ted",412573,,,,,,,,,,,
R,UT,"Romney, Mitt",,R000615,Republican,S4MA00143,MItt Romney,Q4496,Mitt Romney,Mitt,,Romney,M,1947-03-12
D,VA,"Kaine, Tim",412582,,,,,,,,,,,
I,VT,"Sanders, Bernard",400357,,,,,,,,,,,
D,WA,"Cantwell, Maria",300018,,,,,,,,,,,
D,WI,"Baldwin, Tammy",400013,,,,,,,,,,,
D,WV,"Manchin, Joe, III",412391,,,,,,,,,,,
R,WY,"Barrasso, John",412251,,,,,,,,,,,
